lane_key,lane,pickup_city,pickup_state,pickup_state_name,delivery_city,delivery_state,delivery_state_name
dd97fbf14b3df8a792b270f771298a74,"Waterbury,CT -> Newark,NJ",Waterbury,CT,Connecticut,Newark,NJ,New Jersey
d68c27b328603ac73632822933c01634,"Pompano Beach,FL -> Methuen,MA",Pompano Beach,FL,Florida,Methuen,MA,Massachusetts
05716a3ef9030f73f0e6a702b390f587,"La Porte,TX -> Los Angeles,CA",La Porte,TX,Texas,Los Angeles,CA,California
a2a08202cc4b48eb44254614b9b78cb5,"Erie,PA -> Statesville,NC",Erie,PA,Pennsylvania,Statesville,NC,North Carolina
a6d5d001c48add21e49a6c2e011933dd,"Denver,CO -> Ponca City,OK",Denver,CO,Colorado,Ponca City,OK,Oklahoma
275d8a6b9208bbd69c2f71e1aefdcf95,"Springfield,MA -> Newark,NJ",Springfield,MA,Massachusetts,Newark,NJ,New Jersey
4253f58e99b84a0f1ec3b853a6a834b4,"Fort Collins,CO -> Leonardtown,MD",Fort Collins,CO,Colorado,Leonardtown,MD,Maryland
dc6a50ba130e941ee4cc8d605d53576d,"Tampa,FL -> Santa Ana,CA",Tampa,FL,Florida,Santa Ana,CA,California
c7b2fff71c613b18969e2e50e6025c5d,"Aurora,CO -> Hayden,ID",Aurora,CO,Colorado,Hayden,ID,Idaho
f4b83ae53e4ef4e819d34c7510236b1d,"St. Louis,MO -> Fridley,MN",St. Louis,MO,Missouri,Fridley,MN,Minnesota
4a695b0842138ee209f07b65f65be61d,"Houston,TX -> Metairie,LA",Houston,TX,Texas,Metairie,LA,Louisiana
d479a01056a1f79439a295d270c7afee,"Pittston,PA -> Swedesboro,NJ",Pittston,PA,Pennsylvania,Swedesboro,NJ,New Jersey
0189ec8c91dd4b4b3c480ab4ccfd9914,"Orlando,FL -> Fort Payne,AL",Orlando,FL,Florida,Fort Payne,AL,Alabama
0235ddfc19c9ee3a3b512481b4639b03,"Santa Ana,CA -> Plant City,FL",Santa Ana,CA,California,Plant City,FL,Florida
ed17b6fe2ccc9902fc02a374c748cc1b,"Plant City,FL -> Compton,CA",Plant City,FL,Florida,Compton,CA,California
ddc60e869186e81ce0f0e476bd778e5a,"Aurora,CO -> Rock Springs,WY",Aurora,CO,Colorado,Rock Springs,WY,Wyoming
e39a1d6c53fcc4dd00455129cbb5e12d,"Pittston,PA -> Bolingbrook,IL",Pittston,PA,Pennsylvania,Bolingbrook,IL,Illinois
297f36372e7369169eab19e3d0203706,"Wylie,TX -> Memphis,TN",Wylie,TX,Texas,Memphis,TN,Tennessee
4f6faa357935e694ddcb276c06310ce8,"Aurora,CO -> Cedar City,UT",Aurora,CO,Colorado,Cedar City,UT,Utah
cdc7f596ba3a628039bd8bb15e1e7fb2,"Colonial Heights,VA -> Annapolis,MD",Colonial Heights,VA,Virginia,Annapolis,MD,Maryland
c6e03fc1c04c0fff783ef571b61125c1,"Cartersville,GA -> Huntsville,AL",Cartersville,GA,Georgia,Huntsville,AL,Alabama
a96c3a421d0cae3146a373a30d3e39aa,"Tracy,CA -> Melrose Park,IL",Tracy,CA,California,Melrose Park,IL,Illinois
eb7555f35d8c43a522284d9b5fe4a89b,"Carson,CA -> Monroe Township,NJ",Carson,CA,California,Monroe Township,NJ,New Jersey
6898d498bc307b443939c4c606648360,"Sterling,VA -> Plant City,FL",Sterling,VA,Virginia,Plant City,FL,Florida
377f4a0176a1ac098643155ad8c3ff17,"Cranbury Township,NJ -> Moorhead,MN",Cranbury Township,NJ,New Jersey,Moorhead,MN,Minnesota
4a6ef072ddc5a31ff174113e9e148756,"Columbus,OH -> Jenkins Township,PA",Columbus,OH,Ohio,Jenkins Township,PA,Pennsylvania
72bf7a876ca55fb79aee585d3a49e308,"Long Beach,CA -> Stockton,CA",Long Beach,CA,California,Stockton,CA,California
fe3f44ad907601bd957c8e3dfea8b69a,"Philadelphia,PA -> Cleveland,OH",Philadelphia,PA,Pennsylvania,Cleveland,OH,Ohio
1aa63e2eaf33e58faaf69cb338525572,"Etowah,TN -> Reno,NV",Etowah,TN,Tennessee,Reno,NV,Nevada
bab9aaa6ef7be4c8daf79808be069478,"Plant City,FL -> Commerce,CA",Plant City,FL,Florida,Commerce,CA,California
