carrier_key,carrier_name,vip_carrier
1a5852f566418c6c90dd13632b16c4a3,Carrier 1537680,false
98cbbb1197386a2fe3f0c09ad9b83339,Carrier 86598,false
126904e56ccb9fc66644eb44b66813f4,Carrier 1085726,false
43e19d6091aebacea065579fdda8f427,Carrier 1619928,false
7a42fe07964f8d27d25f6cf26c837487,Carrier 1663138,false
6d0015bec422c96d8f324b12991bb801,Carrier 1695799,false
746cd5777739d694179ed7eb40a51e3e,Carrier 1373640,false
9fa1a84ea38620d84e77a5b494df9fa6,Carrier 942333,false
12f0ebc3205d8ed404ebed32a0041958,Carrier 1147761,false
c429c691e4bfd0402709d65cd7ffa9c9,Carrier 1418529,false
f639ce24af08e889277845082238eca3,Carrier 1042270,false
c676767b4c07bc34c218dec52281f1f1,Carrier 1695403,false
fde31d0b134751299805b6383ee3dcde,Carrier 996559,false
a81d254575b5c2ff336b389ee527ce78,Carrier 1456009,false
935e77e02183424204e37e2a35a623a2,Carrier 33924,false
61cbcf0b60f98a2739823b9d026f04a8,Carrier 1247239,false
34bd86b87fdce79fe6c574f5c4f1ff35,Carrier 1558758,false
2bed33f83f11e7cfecf1c2d80b3b4ef5,Carrier 1695629,false
ad59a7adac7f7ea7d47185a800a1e315,Carrier 1695378,false
f7636a90f1c66680759c76d6c9d147ad,Carrier 112421,false
b2bafa20bc2ee46450e9d20ff4903b1e,Carrier 1357797,false
2bd313d57e6fbf105ea5bcf825de2453,Carrier 62196,false
f9002b38908a71f8b9a8df68fa792900,Carrier 964206,false
4c618c5623e2bdb26861f8227af67eb8,Carrier 1288244,false
7026be7270d4dcfcc83f3c514f28b0b5,Carrier 27246,false
04982afb9f01d3da28e0876059cb2eea,Carrier 621541,false
ea87a0081db9a6ccd3d5a79dec191cff,Carrier 1695494,false
cbb055d07b452c58a0fc5409946f2c7a,Carrier 75676,false
5da8e884ab97e45b640c7a5b2810db55,Carrier 1384529,false
47e1724a4ced5451a57974c88c1e6f70,Carrier 1384655,false
09a1b3b2f5d1a0710e16074ba6162245,Carrier 800739,false
019686494dd95bbb8ccfb91089d409e6,Carrier 113308,false
27906f0c949f1d507f07d960573ab929,Carrier 822981,false
e61f745db18fee7258bda46910049bb0,Carrier 1236,false
201f24148ba5fd5125dd2eb198a538cd,Carrier 16243,false
d2b85c79041e60726fa3c5a633648a08,Carrier 1079632,false
55060c4d2943324fa6421bfca1b3eb11,Carrier 1232326,false
edaa1b0f6ea9e3b0d3da55cd65228dd3,Carrier 1695237,false
566300ab6b346a1686312ba12cba88ea,Carrier 1068362,false
0a7c11fcca2e9efa2d95096c7e3183a1,Carrier 279545,false
b77313a05bd7ca95b9c395f4654aef71,Carrier 1695396,false
3fc165db01e32c58b1c5cacf5d9e425c,Carrier 1695502,false
00572206b66eae2e2757c4fbc46b81db,Carrier 1233002,false
eb81346020aaf613699ad85573e157ba,Carrier 1633527,false
6e65cf72659a6f54493340c86130a450,Carrier 101341,false
44d9fd823c36703594527daca960fb3c,Carrier 1046323,false
bdd503830eed9b22604fe895accd987e,Carrier 1018566,false
9859b56d23f156c670873624ad756de3,Carrier 1060870,false
2ac932a9d7d62f529b72d5c2ed1c1db7,Carrier 31074,false
e199df3a8452aaa40d9247f43fa2dc56,Carrier 72909,false
1149d33abfdee08deec7e6f8b686a1d3,Carrier 77854,false
75fb2d36f88a1f82c49a1493c7777b82,Carrier 27323,false
10041f3e007be43a9afca27bbf79f3ee,Carrier 1452983,false
8ea31f68d71560888de2ee67436ea125,Carrier 1237001,false
5297b93d240edb8f671a53f9e5c3da6c,Carrier 99659,false
7c0857881441181ea0eaa6a7d6cf7af0,Carrier 859631,false
46dc932e098f8fc1d1f694161d5528e9,Carrier 1270403,false
9b801333cb3471bbf1f6bc582c90d646,Carrier 1215313,false
131bc932859cb05c226fedff9b12b19c,Carrier 1070607,false
f8004fc9c64fc43ca83df4deaebdf2b7,Carrier 1356448,false
a74a5336da546afcdf228a4e246d4d94,Carrier 1695637,false
6934c1ef35e01ab1a5cc7a4ef633e3af,Carrier 28948,false
175b05cc33ffbc4e37476479b4f98dc2,Carrier 1017413,false
d8c492ce8b6b3a24d3d1b44ef98b3709,Carrier 1025710,false
691accd581c7b1b041165f9576820e90,Carrier 1092587,false
ee4bc230cb6eed8f8214c2ddc7758f94,Carrier 100891,false
3019f4d8b285653089df7f11916add0a,Carrier 90481,false
f300df76ede124d8a0a58f4f33f1d44a,Carrier 107434,false
41f4b9824fc834e35be45447b6f27c1e,Carrier 80744,false
27d885a08d1a5f7a2d20d716ac130810,Carrier 997348,false
8658deb23a3e3078149e78803d4f4c8c,Carrier 1657136,false
ae157633d1a99a9f2325ed6ef9bf212d,Carrier 27623,false
3a446d52c4f7ca6e7943b7b420f587ef,Carrier 1492064,false
70d89ea9f9c41ab57daace136b0e50b9,Carrier 1323292,false
c5aefa1f5968ba0c9f289e0c0451f7f7,Carrier 1695436,false
0cd91c971a7ce9b2ccdc0d1be7f3c662,Carrier 844999,false
87656b9b100324240141abfd24ef9c62,Carrier 68912,false
edcd8c2174dc67e2bd35a5e7d7c2b613,Carrier 1044218,false
83b769057e3eca17b826f77192a726c0,Carrier 1695487,false
3850ba230ae12157f0ff185f5628b668,Carrier 1645011,false
52d06cf9e6561aae4c2861e94a53dade,Carrier 40344,false
557f7b85fda602f8e667ca8dc32bc988,Carrier 1542284,false
7fdf1db6f0dbe27999f8453b2c6176e9,Carrier 44490,false
fff6287fb9c4c92ff995d97a04d2c72e,Carrier 1695552,false
da9ab38932934021c990c8554eb50b44,Carrier 48399,false
e383edb1c66b7d845c98fb783bd2419c,Carrier 1695267,false
52e39b893e732db3d8b1d645a2947084,Carrier 88114,false
5609448f89df11b1f52c063637aca59a,Carrier 1695476,false
fc2a5f27d91429784bfc3c24ee5a6811,Carrier 56439,false
e6df2826b0d49cd99c4bc87adcb75e09,Carrier 1244161,false
5b7c7a2d7bc8eb98123e2f1a2022082d,Carrier 47895,false
d300921fd9ec522b2dc1a79970d46134,Carrier 1020684,false
46b98b0ed99de73202f5da3e93830a71,Carrier 1236400,false
7bfcc4f97f9e47d8f9422fed4a60ca6b,Carrier 1053113,false
f3c129fbacdeeb4efe73d2a82e7d6554,Carrier 1370808,false
46c58153e552da61b49ce21ea8ff656a,Carrier 150473,false
52de7941d9a1b9e231be8f9a95f5c6aa,Carrier 89768,false
890cfd59be2324741de5c482c103dde8,Carrier 995344,false
d7fab0ac0e355c07427e2d61570521cb,Carrier 1392733,false
a3af80ca69fdfbee0a462d051ce58e0b,Carrier 1051754,false
a7f98d6d704d5e646b880b3d926da282,Carrier 615933,false
6e514263136379c602c3acba509bdff6,Carrier 1469806,false
f4f91293024786260914102ff3664427,Carrier 1352784,false
bbd19fefd2bc599bff0589af753717f4,Carrier 819914,false
02014ccc75ccbcfe612c93954ffdbb1b,Carrier 1036149,false
6530735fc4f5c95835e54a94e5286ae1,Carrier 534322,false
e559d54ca8dc8f39429bc0a3d010bc67,Carrier 1567920,false
7543a5ae2b9d42ae0084a9e5d43bf48a,Carrier 2242,false
2c4bc1dde3e5cbe0faf784b0b568de35,Carrier 89517,false
b2b9eb0f45aae4be3643eb171bae3c24,Carrier 107790,false
ad0b18e73c2fcc872362cf1611875440,Carrier 101590,false
525acb79742867c357ec36d290d08bbe,Carrier 1492069,false
a92df9b3959f640982822115fe852473,Carrier 330332,false
